orderID,productID,unitPrice,quantity,discount,revenue,customerID,shipperID
10319,17,31.2,8,0,249.6,CONSH,
10319,28,36.4,14,0,509.6,BLONP,
10319,76,14.4,30,0,432,WARTH,
10320,71,17.2,30,0,516,TOMSP,
10321,35,14.4,10,0,144,MEREP,
10322,52,5.6,20,0,112,SAVEA,
10323,15,12.4,5,0,62,OLDWO,
10323,25,11.2,4,0,44.8,ERNSH,
10323,39,14.4,4,0,57.6,REGGC,
10324,16,13.9,21,0.15,291.9,BERGS,
10324,35,14.4,70,0.15,1008,BERGS,
10324,46,9.6,30,0,288,TOMSP,
10324,59,44,40,0.15,1760,RICAR,
10324,63,35.1,80,0.15,2808,RANCH,
10325,6,20,6,0,120,BLONP,
10325,13,4.8,12,0,57.6,VICTE,
10325,14,18.6,9,0,167.4,QUICK,
10325,31,10,4,0,40,SAVEA,
10325,72,27.8,40,0,1112,AROUT,
10326,4,17.6,24,0,422.4,LAMAI,
10326,57,15.6,16,0,249.6,WARTH,
10326,75,6.2,50,0,310,KOENE,
10327,2,15.2,25,0.2,380,KOENE,
10327,11,16.8,50,0.2,840,SUPRD,
10327,30,20.7,35,0.2,724.5,VICTE,
10327,58,10.6,30,0.2,318,FOLKO,
10328,59,44,9,0,396,LILAS,
10328,65,16.8,40,0,672,CONSH,
10328,68,10,10,0,100,SUPRD,
10329,19,7.3,10,0.05,73,FURIB,
10329,30,20.7,8,0.05,165.6,VAFFE,
10329,38,210.8,20,0.05,4216,COMMI,
10329,56,30.4,12,0.05,364.8,MAGAA,
10330,26,24.9,50,0.15,1245,KOENE,
10330,72,27.8,25,0.15,695,WHITC,
10331,54,5.9,15,0,88.5,BONAP,
10332,18,50,40,0.2,2000,BSBEV,
10332,42,11.2,10,0.2,112,SEVES,
10332,47,7.6,16,0.2,121.6,ISLAT,
10333,14,18.6,10,0,186,PERIC,
10333,21,8,10,0.1,80,SUPRD,
10333,71,17.2,40,0.1,688,HILAA,
10334,52,5.6,8,0,44.8,PRINI,
10334,68,10,10,0,100,VICTE,
10335,2,15.2,7,0.2,106.4,RATTC,
10335,31,10,25,0.2,250,FOLIG,
10335,32,25.6,6,0.2,153.6,RICAR,
10335,51,42.4,48,0.2,2035.2,LAZYK,
10336,4,17.6,18,0.1,316.8,WHITC,
10337,23,7.2,40,0,288,BSBEV,
10337,26,24.9,24,0,597.6,LINOD,
10337,36,15.2,20,0,304,HILAA,
10337,37,20.8,28,0,582.4,QUEEN,
10337,72,27.8,25,0,695,FRANK,
10338,17,31.2,20,0,624,PICCO,
10338,30,20.7,15,0,310.5,HILAA,
10339,4,17.6,10,0,176,FURIB,
10339,17,31.2,70,0.05,2184,BOTTM,
10339,62,39.4,28,0,1103.2,LAMAI,
10340,18,50,20,0.05,1000,COMMI,
10340,41,7.7,12,0.05,92.4,LAUGB,
10340,43,36.8,40,0.05,1472,TRADH,
10341,33,2,8,0,16,LEHMS,
10341,59,44,9,0.15,396,HILAA,
10342,2,15.2,24,0.2,364.8,LILAS,
10342,31,10,56,0.2,560,LAMAI,
10342,36,15.2,40,0.2,608,BLAUS,
10342,55,19.2,40,0.2,768,PERIC,
10343,64,26.6,50,0,1330,HUNGO,
10343,68,10,4,0.05,40,WHITC,
10343,76,14.4,15,0,216,MEREP,
10344,4,17.6,35,0,616,KOENE,
10344,8,32,70,0.25,2240,ANTON,
10345,8,32,70,0,2240,OTTIK,
10345,19,7.3,80,0,584,BLAUS,
10345,42,11.2,9,0,100.8,SAVEA,
10346,17,31.2,36,0.1,1123.2,BONAP,
10346,56,30.4,20,0,608,FAMIA,
10347,25,11.2,10,0,112,WANDK,
10347,39,14.4,50,0.15,720,ERNSH,
10347,40,14.7,4,0,58.8,QUICK,
10347,75,6.2,6,0.15,37.2,HUNGO,
10348,1,14.4,15,0.15,216,NORTS,
10348,23,7.2,25,0,180,TORTU,
10349,54,5.9,24,0,141.6,CHOPS,
10350,50,13,15,0.1,195,SANTG,
10350,69,28.8,18,0.1,518.4,CACTU,
10351,38,210.8,20,0.05,4216,LEHMS,
10351,41,7.7,13,0,100.1,SEVES,
10351,44,15.5,77,0.05,1193.5,BERGS,
10351,65,16.8,10,0.05,168,BONAP,
10352,24,3.6,10,0,36,WARTH,
10352,54,5.9,20,0.15,118,QUICK,
10353,11,16.8,12,0.2,201.6,GREAL,
10353,38,210.8,50,0.2,10540,MAISD,
10354,1,14.4,12,0,172.8,PICCO,
10354,29,99,4,0,396,OCEAN,
10355,24,3.6,25,0,90,EASTC,
10355,57,15.6,25,0,390,FOLKO,
10356,31,10,30,0,300,LEHMS,
10356,55,19.2,12,0,230.4,ANTON,
10356,69,28.8,20,0,576,LEHMS,
10357,10,24.8,30,0.2,744,RICSU,
10357,26,24.9,16,0,398.4,BSBEV,
10357,60,27.2,8,0.2,217.6,BSBEV,
10358,24,3.6,10,0.05,36,QUICK,
10358,34,11.2,10,0.05,112,HANAR,
10358,36,15.2,20,0.05,304,KOENE,
10359,16,13.9,56,0.05,778.4,LILAS,
10359,31,10,70,0.05,700,LONEP,
10359,60,27.2,80,0.05,2176,LAZYK,
10360,28,36.4,30,0,1092,VICTE,
10360,29,99,35,0,3465,SEVES,
10360,38,210.8,10,0,2108,TOMSP,
10360,49,16,35,0,560,QUICK,
10360,54,5.9,28,0,165.2,GODOS,
10361,39,14.4,54,0.1,777.6,FURIB,
10361,60,27.2,55,0.1,1496,HILAA,
10362,25,11.2,50,0,560,WARTH,
10362,51,42.4,20,0,848,OTTIK,
10362,54,5.9,24,0,141.6,SAVEA,
10363,31,10,20,0,200,SIMOB,
10363,75,6.2,12,0,74.4,LEHMS,
10363,76,14.4,12,0,172.8,AROUT,
10364,69,28.8,30,0,864,BLONP,
10364,71,17.2,5,0,86,FRANK,
10365,11,16.8,24,0,403.2,FOLKO,
10366,65,16.8,5,0,84,REGGC,
10366,77,10.4,5,0,52,RICAR,
10367,34,11.2,36,0,403.2,RATTC,
10367,54,5.9,18,0,106.2,MEREP,
10367,65,16.8,15,0,252,BLONP,
10367,77,10.4,7,0,72.8,HUNGO,
10368,21,8,5,0.1,40,GALED,
10368,28,36.4,13,0.1,473.2,RATTC,
10368,57,15.6,25,0,390,MEREP,
10368,64,26.6,35,0.1,931,ERNSH,
10369,29,99,20,0,1980,BERGS,
10369,56,30.4,18,0.25,547.2,ANTON,
10370,1,14.4,15,0.15,216,TRAIH,
10370,64,26.6,30,0,798,MORGK,
10370,74,8,20,0.15,160,TORTU,
10371,36,15.2,6,0.2,91.2,TRAIH,
10372,20,64.8,12,0.25,777.6,BSBEV,
10372,38,210.8,40,0.25,8432,LETSS,
10372,60,27.2,70,0.25,1904,OTTIK,
10372,72,27.8,42,0.25,1167.6,FAMIA,
10373,58,10.6,80,0.2,848,BLAUS,
10373,71,17.2,50,0.2,860,WARTH,
10374,31,10,30,0,300,BLONP,
10374,58,10.6,15,0,159,WELLI,
10375,14,18.6,15,0,279,REGGC,
10375,54,5.9,10,0,59,QUEDE,
10376,31,10,42,0.05,420,QUICK,
10377,28,36.4,20,0.15,728,GREAL,
10377,39,14.4,20,0.15,288,MEREP,
10378,71,17.2,6,0,103.2,VAFFE,
10379,41,7.7,8,0.1,61.6,LEHMS,
10379,63,35.1,16,0.1,561.6,LEHMS,
10379,65,16.8,20,0.1,336,OLDWO,
10380,30,20.7,18,0.1,372.6,ERNSH,
10380,53,26.2,20,0.1,524,WHITC,
10380,60,27.2,6,0.1,163.2,PICCO,
10380,70,12,30,0,360,RATTC,
10381,74,8,14,0,112,BSBEV,
10382,5,17,32,0,544,HUNGC,
10382,18,50,9,0,450,HILAA,
10382,29,99,14,0,1386,VAFFE,
10382,33,2,60,0,120,SAVEA,
10382,74,8,50,0,400,FURIB,
10383,13,4.8,20,0,96,MEREP,
10383,50,13,15,0,195,TRADH,
10383,56,30.4,20,0,608,SAVEA,
10384,20,64.8,28,0,1814.4,TOMSP,
10384,60,27.2,15,0,408,DUMON,
10385,7,24,10,0.2,240,LAMAI,
10385,60,27.2,20,0.2,544,WOLZA,
10385,68,10,8,0.2,80,SAVEA,
10386,24,3.6,15,0,54,HILAA,
10386,34,11.2,10,0,112,BLAUS,
10387,24,3.6,15,0,54,WILMK,
10387,28,36.4,6,0,218.4,GREAL,
10387,59,44,12,0,528,GREAL,
10387,71,17.2,15,0,258,MEREP,
10388,45,7.6,15,0.2,114,MEREP,
10388,52,5.6,20,0.2,112,LAUGB,
10388,53,26.2,40,0,1048,ISLAT,
10389,10,24.8,16,0,396.8,RICAR,
10389,55,19.2,15,0,288,FRANK,
10389,62,39.4,20,0,788,THECR,
10389,70,12,30,0,360,ANATR,
10390,31,10,60,0.1,600,BERGS,
10390,35,14.4,40,0.1,576,SAVEA,
10390,46,9.6,45,0,432,BLONP,
10390,72,27.8,24,0.1,667.2,GODOS,
10391,13,4.8,18,0,86.4,KOENE,
10392,69,28.8,50,0,1440,LAMAI,
10393,2,15.2,25,0.25,380,WANDK,
10393,14,18.6,42,0.25,781.2,ERNSH,
10393,25,11.2,7,0.25,78.4,FOLIG,
10393,26,24.9,70,0.25,1743,MAGAA,
10393,31,10,32,0,320,WARTH,
10394,13,4.8,10,0,48,QUEEN,
10394,62,39.4,10,0,394,LINOD,
10395,46,9.6,28,0.1,268.8,SANTG,
10395,53,26.2,70,0.1,1834,WANDK,
10395,69,28.8,8,0,230.4,HILAA,
10396,23,7.2,40,0,288,SIMOB,
10396,71,17.2,60,0,1032,ALFKI,
10396,72,27.8,21,0,583.8,WELLI,
10397,21,8,10,0.15,80,HANAR,
10397,51,42.4,18,0.15,763.2,HUNGO,
10398,35,14.4,30,0,432,QUEDE,
10398,55,19.2,120,0.1,2304,RICAR,
10399,68,10,60,0,600,MAISD,
10399,71,17.2,30,0,516,FAMIA,
10399,76,14.4,35,0,504,WANDK,
10399,77,10.4,14,0,145.6,GOURL,
10400,29,99,21,0,2079,FRANK,
10400,35,14.4,35,0,504,BERGS,
10400,49,16,30,0,480,REGGC,
10401,30,20.7,18,0,372.6,GREAL,
10401,56,30.4,70,0,2128,SAVEA,
10401,65,16.8,20,0,336,QUICK,
10401,71,17.2,60,0,1032,QUEEN,
10402,23,7.2,60,0,432,HUNGC,
10402,63,35.1,65,0,2281.5,HUNGO,
10403,16,13.9,21,0.15,291.9,LONEP,
10403,48,10.2,70,0.15,714,BONAP,
10404,26,24.9,30,0.05,747,FURIB,
10404,42,11.2,40,0.05,448,LONEP,
10404,49,16,30,0.05,480,RICSU,
10405,3,8,50,0,400,ERNSH,
10406,1,14.4,10,0,144,WANDK,
10406,21,8,30,0.1,240,SIMOB,
10406,28,36.4,42,0.1,1528.8,FRANK,
10406,36,15.2,5,0.1,76,FRANR,
10406,40,14.7,2,0.1,29.4,BERGS,
10407,11,16.8,30,0,504,WILMK,
10407,69,28.8,15,0,432,ISLAT,
10407,71,17.2,15,0,258,FRANK,
10408,37,20.8,10,0,208,TORTU,
10408,54,5.9,6,0,35.4,ANTON,
10408,62,39.4,35,0,1379,SAVEA,
10409,14,18.6,12,0,223.2,BLONP,
10409,21,8,12,0,96,OLDWO,
10410,33,2,49,0,98,GREAL,
10410,59,44,16,0,704,ANTON,
10411,41,7.7,25,0.2,192.5,DUMON,
10411,44,15.5,40,0.2,620,OTTIK,
10411,59,44,9,0.2,396,GOURL,
10412,14,18.6,20,0.1,372,PICCO,
10413,1,14.4,24,0,345.6,HUNGO,
10413,62,39.4,40,0,1576,VAFFE,
10413,76,14.4,14,0,201.6,BERGS,
10414,19,7.3,18,0.05,131.4,HANAR,
10414,33,2,50,0,100,QUICK,
10415,17,31.2,2,0,62.4,ALFKI,
10415,33,2,20,0,40,WHITC,
10416,19,7.3,20,0,146,QUICK,
10416,53,26.2,10,0,262,WILMK,
10416,57,15.6,20,0,312,WHITC,
10417,38,210.8,50,0,10540,LINOD,
10417,46,9.6,2,0.25,19.2,ERNSH,
10417,68,10,36,0.25,360,MORGK,
10417,77,10.4,35,0,364,SAVEA,
10418,2,15.2,60,0,912,HUNGO,
10418,47,7.6,55,0,418,ALFKI,
10418,61,22.8,16,0,364.8,FOLKO,
10418,74,8,15,0,120,QUEEN,
10419,60,27.2,60,0.05,1632,HILAA,
10419,69,28.8,20,0.05,576,OLDWO,
10420,9,77.6,20,0.1,1552,AROUT,
10420,13,4.8,2,0.1,9.6,THEBI,
10420,70,12,8,0.1,96,GOURL,
10420,73,12,20,0.1,240,FRANS,
10421,19,7.3,4,0.15,29.2,SAVEA,
10421,26,24.9,30,0,747,HUNGO,
10421,53,26.2,15,0.15,393,SAVEA,
10421,77,10.4,10,0.15,104,SAVEA,
10422,26,24.9,2,0,49.8,BONAP,
10423,31,10,14,0,140,RANCH,
10423,59,44,20,0,880,FRANK,
10424,35,14.4,60,0.2,864,KOENE,
10424,38,210.8,49,0.2,10329.2,LETSS,
10424,68,10,30,0.2,300,QUEDE,
10425,55,19.2,10,0.25,192,QUICK,
10425,76,14.4,20,0.25,288,SAVEA,
10426,56,30.4,5,0,152,WHITC,
10426,64,26.6,7,0,186.2,MEREP,
10427,14,18.6,35,0,651,FAMIA,
10428,46,9.6,20,0,192,EASTC,
10429,50,13,40,0,520,REGGC,
10429,63,35.1,35,0.25,1228.5,QUEEN,
10430,17,31.2,45,0.2,1404,LINOD,
10430,21,8,50,0,400,BONAP,
10430,56,30.4,30,0,912,CHOPS,
10430,59,44,70,0.2,3080,BONAP,
10431,17,31.2,50,0.25,1560,BERGS,
10431,40,14.7,50,0.25,735,GOURL,
10431,47,7.6,30,0.25,228,LETSS,
10432,26,24.9,10,0,249,HUNGO,
10432,54,5.9,40,0,236,VINET,
10433,56,30.4,28,0,851.2,SPECD,
10434,11,16.8,6,0,100.8,VINET,
10434,76,14.4,18,0.15,259.2,WHITC,
10435,2,15.2,10,0,152,AROUT,
10435,22,16.8,12,0,201.6,BOTTM,
10435,72,27.8,10,0,278,AROUT,
10436,46,9.6,5,0,48,VAFFE,
10436,56,30.4,40,0.1,1216,QUICK,
10436,64,26.6,30,0.1,798,CHOPS,
10436,75,6.2,24,0.1,148.8,PICCO,
10437,53,26.2,15,0,393,SAVEA,
10438,19,7.3,15,0.2,109.5,ISLAT,
10438,34,11.2,20,0.2,224,WARTH,
10438,57,15.6,15,0.2,234,RICSU,
10439,12,30.4,15,0,456,NORTS,
10439,16,13.9,16,0,222.4,FRANS,
10439,64,26.6,6,0,159.6,MAGAA,
10439,74,8,30,0,240,BONAP,
10440,2,15.2,45,0.15,684,SPLIR,
10440,16,13.9,49,0.15,681.1,SAVEA,
10440,29,99,24,0.15,2376,RICSU,
10440,61,22.8,90,0.15,2052,ANATR,
10441,27,35.1,50,0,1755,MAISD,
10442,11,16.8,30,0,504,RATTC,
10442,54,5.9,80,0,472,FOLKO,
10442,66,13.6,60,0,816,FOLIG,
10443,11,16.8,6,0.2,100.8,ERNSH,
10443,28,36.4,12,0,436.8,QUICK,
10444,17,31.2,10,0,312,OTTIK,
10444,26,24.9,15,0,373.5,SUPRD,
10444,35,14.4,8,0,115.2,AROUT,
10444,41,7.7,30,0,231,VAFFE,
10445,39,14.4,6,0,86.4,HANAR,
10445,54,5.9,15,0,88.5,ERNSH,
10446,19,7.3,12,0.1,87.6,LEHMS,
10446,24,3.6,20,0.1,72,ERNSH,
10446,31,10,3,0.1,30,FOLKO,
10446,52,5.6,15,0.1,84,THECR,
10447,19,7.3,40,0,292,ERNSH,
10447,65,16.8,35,0,588,GOURL,
10447,71,17.2,2,0,34.4,BERGS,
10448,26,24.9,6,0,149.4,MORGK,
10448,40,14.7,20,0,294,LILAS,
10449,10,24.8,14,0,347.2,WARTH,
10449,52,5.6,20,0,112,CACTU,
10449,62,39.4,35,0,1379,HANAR,
10450,10,24.8,20,0.2,496,MAGAA,
10450,54,5.9,6,0.2,35.4,GROSR,
10451,55,19.2,120,0.1,2304,QUEEN,
10451,64,26.6,35,0.1,931,LAMAI,
10451,65,16.8,28,0.1,470.4,QUICK,
10451,77,10.4,55,0.1,572,FOLIG,
10452,28,36.4,15,0,546,GOURL,
10452,44,15.5,100,0.05,1550,FRANK,
10453,48,10.2,15,0.1,153,WOLZA,
10453,70,12,25,0.1,300,AROUT,
10454,16,13.9,20,0.2,278,QUEDE,
10454,33,2,20,0.2,40,ERNSH,
10454,46,9.6,10,0.2,96,HILAA,
10455,39,14.4,20,0,288,DRACD,
10455,53,26.2,50,0,1310,ISLAT,
10455,61,22.8,25,0,570,KOENE,
10455,71,17.2,30,0,516,SEVES,
10456,21,8,40,0.15,320,BOLID,
10456,49,16,21,0.15,336,SIMOB,
10457,59,44,36,0,1584,WELLI,
10458,26,24.9,30,0,747,SEVES,
10458,28,36.4,30,0,1092,THEBI,
10458,43,36.8,20,0,736,VICTE,
10458,56,30.4,15,0,456,FRANS,
10458,71,17.2,50,0,860,OLDWO,
10459,7,24,16,0.05,384,WELLI,
10459,46,9.6,20,0.05,192,LAUGB,
10459,72,27.8,40,0,1112,LINOD,
10460,68,10,21,0.25,210,REGGC,
10460,75,6.2,4,0.25,24.8,RICAR,
10461,21,8,40,0.25,320,VICTE,
10461,30,20.7,28,0.25,579.6,SAVEA,
10461,55,19.2,60,0.25,1152,GREAL,
10462,13,4.8,1,0,4.8,KOENE,
10462,23,7.2,21,0,151.2,MAGAA,
10463,19,7.3,21,0,153.3,CACTU,
10463,42,11.2,50,0,560,RATTC,
10464,4,17.6,16,0.2,281.6,SPLIR,
10464,43,36.8,3,0,110.4,TRAIH,
10464,56,30.4,30,0.2,912,LILAS,
10464,60,27.2,20,0,544,FOLKO,
10465,24,3.6,25,0,90,DRACD,
10465,29,99,18,0.1,1782,BLONP,
10465,40,14.7,20,0,294,BONAP,
10465,45,7.6,30,0.1,228,RANCH,
10465,50,13,25,0,325,ISLAT,
10466,11,16.8,10,0,168,TRADH,
10466,46,9.6,5,0,48,SANTG,
10467,24,3.6,28,0,100.8,LAMAI,
10467,25,11.2,12,0,134.4,OTTIK,
10468,30,20.7,8,0,165.6,TRADH,
10468,43,36.8,15,0,552,ALFKI,
10469,2,15.2,40,0.15,608,ERNSH,
10469,16,13.9,35,0.15,486.5,BERGS,
10469,44,15.5,2,0.15,31,LINOD,
10470,18,50,30,0,1500,TRADH,
10470,23,7.2,15,0,108,LINOD,
10470,64,26.6,8,0,212.8,SUPRD,
10471,7,24,30,0,720,TORTU,
10471,56,30.4,20,0,608,VICTE,
10472,24,3.6,80,0.05,288,PICCO,
10472,51,42.4,18,0,763.2,QUICK,
10473,33,2,12,0,24,SUPRD,
10473,71,17.2,12,0,206.4,SAVEA,
10474,14,18.6,12,0,223.2,CONSH,
10474,28,36.4,18,0,655.2,KOENE,
10474,40,14.7,21,0,308.7,VICTE,
10474,75,6.2,10,0,62,RICAR,
10475,31,10,35,0.15,350,RATTC,
10475,66,13.6,60,0.15,816,BLAUS,
10475,76,14.4,42,0.15,604.8,ERNSH,
10476,55,19.2,2,0.05,38.4,OLDWO,
10476,70,12,12,0,144,ANTON,
10477,1,14.4,15,0,216,BERGS,
10477,21,8,21,0.25,168,LACOR,
10477,39,14.4,20,0.25,288,FRANK,
10478,10,24.8,20,0.05,496,FRANR,
10479,38,210.8,30,0,6324,WHITC,
10479,53,26.2,28,0,733.6,LEHMS,
10479,59,44,60,0,2640,HILAA,
10479,64,26.6,30,0,798,AROUT,
10480,47,7.6,30,0,228,QUICK,
10480,59,44,12,0,528,BERGS,
